2/08/2024 11:19:52 PM,serial1, c, d, e, f + 1
4/08/2024 9:28:49 PM,serial1,mr bean,rust,replace,1
4/08/2024 9:29:51 PM,serial1,xxboss_brett + xxboss_brett,rubber ring,replace,1
4/08/2024 9:30:08 PM,serial4,mr bean,rubber ring,hammer,1
4/08/2024 10:07:57 PM,serial2,rodney,rubber ring,replace,1
4/08/2024 10:44:56 PM,serial3,mr bean,rust,replace,2 + 1
5/08/2024 12:42:06 PM,serial4,rodney,rubber ring,replace + kjhkjdshkf,139 + 138 + 137 + 145 + 143 + 142 + 129 + 130 + 128 + 144 + 140 + 134 + 133 + 132 + 131 + 141 + 136
5/08/2024 12:40:06 PM,serial2,xxboss_brett,sand,clean,156 + 163 + 170 + 178 + 155 + 169 + 177 + 158 + 166 + 173 + 181 + 200 + 198 + 199 + 202 + 175 + 167 + 153 + 201 + 154 + 168 + 176 + 174 + 166 + 159 + 152 + 157 + 164 + 172 + 180 + 171 + 179 + 143 + 199 + 198
5/08/2024 10:32:54 PM,serial3,Ryan + mr bean + xxboss_brett,rust,hammer + clean,1 + 131
5/08/2024 10:51:24 PM,serial4,,,,
5/08/2024 10:51:27 PM,serial2,,,,
5/08/2024 10:51:30 PM,serial2,,,,
